x, y
37.35458569443505, 1.1821597855697811e-18
53.60065087934425, 8.305610534541817e-18
67.08572633464718, 1.8292299939381105e-17
77.85295626310277, 3.107476208908787e-17
91.72090661202054, 5.501566596796693e-17
103.28562642511443, 7.738486061305424e-17
111.43238434163702, 9.665810942076088e-17
121.80078957878499, 1.172013423799125e-16
130.17419412052178, 1.3999815587090367e-16
141.6116345480274, 1.6444765594759024e-16
157.57778078342855, 2.0305522892762982e-16
170.1072241099694, 2.336247726791362e-16
188.98556415710425, 2.733516955032464e-16
208.76753999252276, 3.1102898751835e-16
224.11395683857148, 3.3812472155476517e-16
240.06550900908374, 3.636897371476983e-16
263.1696682059285, 3.952204647205323e-16
289.032663909691, 4.265219542655984e-16
314.4541692133177, 4.517658449032654e-16
345.2514740803028, 4.767910875614405e-16
369.2656489845083, 4.947908374171968e-16
394.63842765618364, 5.096814038752274e-16
424.0762515168258, 5.256317055090162e-16
453.7042767149542, 5.395751473477407e-16
483.12838374958056, 5.526405281147523e-16
527.7061543251385, 5.686656447878704e-16
557.9382781108804, 5.784653650645263e-16
617.5935519433872, 5.95724907063197e-16
667.8720992102936, 6.073930405124123e-16
724.2776017628993, 6.190906161217052e-16
779.2654862965718, 6.274209215533045e-16
823.5670063760912, 6.333278861533293e-16
866.9999004732624, 6.380645591253351e-16
904.1777624092616, 6.408036385945181e-16
